
ACCX_Angle -176.41	ACCY_Angle 176.56		GRYX_Angle -241.54	GYRY_Angle -237.25	GYRZ_Angle -237.13		CFangleX_Angle -177.46	CFangleY_Angle 175.36		HEADING  140.94	tiltCompensatedHeading 167.27
ACCX_Angle -177.34	ACCY_Angle 174.88		GRYX_Angle -241.78	GYRY_Angle -237.50	GYRZ_Angle -237.37		CFangleX_Angle -177.62	CFangleY_Angle 175.07		HEADING  140.94	tiltCompensatedHeading 164.84
ACCX_Angle -177.66	ACCY_Angle 175.26		GRYX_Angle -242.02	GYRY_Angle -237.73	GYRZ_Angle -237.61		CFangleX_Angle -177.82	CFangleY_Angle 174.92		HEADING  139.43	tiltCompensatedHeading 162.36
ACCX_Angle -176.22	ACCY_Angle 177.55		GRYX_Angle -242.24	GYRY_Angle -237.96	GYRZ_Angle -237.84		CFangleX_Angle -177.68	CFangleY_Angle 175.26		HEADING  139.43	tiltCompensatedHeading 166.49
ACCX_Angle -177.14	ACCY_Angle 175.96		GRYX_Angle -242.48	GYRY_Angle -238.20	GYRZ_Angle -238.08		CFangleX_Angle -177.76	CFangleY_Angle 175.21		HEADING  139.03	tiltCompensatedHeading 163.50
ACCX_Angle -176.80	ACCY_Angle 176.76		GRYX_Angle -242.72	GYRY_Angle -238.44	GYRZ_Angle -238.30		CFangleX_Angle -177.77	CFangleY_Angle 175.33		HEADING  140.03	tiltCompensatedHeading 164.50
ACCX_Angle -177.51	ACCY_Angle 174.84		GRYX_Angle -242.95	GYRY_Angle -238.66	GYRZ_Angle -238.55		CFangleX_Angle -177.89	CFangleY_Angle 175.05		HEADING  140.03	tiltCompensatedHeading 163.64
ACCX_Angle -176.63	ACCY_Angle 176.79		GRYX_Angle -243.19	GYRY_Angle -238.90	GYRZ_Angle -238.79		CFangleX_Angle -177.84	CFangleY_Angle 175.20		HEADING  138.23	tiltCompensatedHeading 164.19
ACCX_Angle -177.78	ACCY_Angle 174.87		GRYX_Angle -243.43	GYRY_Angle -239.15	GYRZ_Angle -239.03		CFangleX_Angle -178.02	CFangleY_Angle 174.94		HEADING  138.23	tiltCompensatedHeading 161.52
ACCX_Angle -176.62	ACCY_Angle 177.76		GRYX_Angle -243.67	GYRY_Angle -239.38	GYRZ_Angle -239.27		CFangleX_Angle -177.92	CFangleY_Angle 175.32		HEADING  139.00	tiltCompensatedHeading 163.55
ACCX_Angle -177.27	ACCY_Angle 176.49		GRYX_Angle -243.91	GYRY_Angle -239.62	GYRZ_Angle -239.51		CFangleX_Angle -177.99	CFangleY_Angle 175.36		HEADING  139.00	tiltCompensatedHeading 162.12
ACCX_Angle -177.38	ACCY_Angle 176.51		GRYX_Angle -244.11	GYRY_Angle -239.82	GYRZ_Angle -239.74		CFangleX_Angle -178.03	CFangleY_Angle 175.43		HEADING  139.40	tiltCompensatedHeading 161.89
ACCX_Angle -176.53	ACCY_Angle 176.57		GRYX_Angle -244.34	GYRY_Angle -240.05	GYRZ_Angle -239.97		CFangleX_Angle -177.91	CFangleY_Angle 175.47		HEADING  137.79	tiltCompensatedHeading 164.54
ACCX_Angle -177.52	ACCY_Angle 177.41		GRYX_Angle -244.59	GYRY_Angle -240.30	GYRZ_Angle -240.22		CFangleX_Angle -178.03	CFangleY_Angle 175.66		HEADING  137.79	tiltCompensatedHeading 158.03
ACCX_Angle -176.62	ACCY_Angle 175.48		GRYX_Angle -244.81	GYRY_Angle -240.52	GYRZ_Angle -240.44		CFangleX_Angle -177.93	CFangleY_Angle 175.45		HEADING  137.96	tiltCompensatedHeading 165.56
ACCX_Angle -176.26	ACCY_Angle 176.00		GRYX_Angle -245.05	GYRY_Angle -240.76	GYRZ_Angle -240.68		CFangleX_Angle -177.79	CFangleY_Angle 175.36		HEADING  137.96	tiltCompensatedHeading 166.24
ACCX_Angle -177.46	ACCY_Angle 176.28		GRYX_Angle -245.28	GYRY_Angle -241.00	GYRZ_Angle -240.92		CFangleX_Angle -177.91	CFangleY_Angle 175.36		HEADING  136.66	tiltCompensatedHeading 159.94
ACCX_Angle -176.75	ACCY_Angle 176.25		GRYX_Angle -245.52	GYRY_Angle -241.24	GYRZ_Angle -241.15		CFangleX_Angle -177.87	CFangleY_Angle 175.35		HEADING  137.04	tiltCompensatedHeading 162.96
