
ACCX_Angle -179.96	ACCY_Angle -162.13		GRYX_Angle  4.07	GYRY_Angle  1.15	GYRZ_Angle  1.27		CFangleX_Angle -179.86	CFangleY_Angle -161.97		HEADING  351.33	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.13		GRYX_Angle  4.09	GYRY_Angle  1.18	GYRZ_Angle  1.29		CFangleX_Angle -179.86	CFangleY_Angle -161.98		HEADING  351.33	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.13		GRYX_Angle  4.11	GYRY_Angle  1.20	GYRZ_Angle  1.31		CFangleX_Angle -179.87	CFangleY_Angle -162.00		HEADING  351.33	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.13		GRYX_Angle  4.13	GYRY_Angle  1.22	GYRZ_Angle  1.33		CFangleX_Angle -179.87	CFangleY_Angle -162.01		HEADING  351.13	tiltCompensatedHeading 261.48
ACCX_Angle -179.96	ACCY_Angle -162.53		GRYX_Angle  4.15	GYRY_Angle  1.24	GYRZ_Angle  1.35		CFangleX_Angle -179.87	CFangleY_Angle -162.10		HEADING  351.13	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.53		GRYX_Angle  4.17	GYRY_Angle  1.26	GYRZ_Angle  1.37		CFangleX_Angle -179.88	CFangleY_Angle -162.17		HEADING  351.13	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.53		GRYX_Angle  4.19	GYRY_Angle  1.28	GYRZ_Angle  1.39		CFangleX_Angle -179.87	CFangleY_Angle -162.22		HEADING  351.13	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.53		GRYX_Angle  4.22	GYRY_Angle  1.30	GYRZ_Angle  1.42		CFangleX_Angle -179.87	CFangleY_Angle -162.27		HEADING  351.13	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.53		GRYX_Angle  4.24	GYRY_Angle  1.33	GYRZ_Angle  1.44		CFangleX_Angle -179.87	CFangleY_Angle -162.30		HEADING  351.13	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.53		GRYX_Angle  4.26	GYRY_Angle  1.35	GYRZ_Angle  1.46		CFangleX_Angle -179.87	CFangleY_Angle -162.33		HEADING  351.13	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.53		GRYX_Angle  4.28	GYRY_Angle  1.36	GYRZ_Angle  1.48		CFangleX_Angle -179.88	CFangleY_Angle -162.36		HEADING  351.13	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.53		GRYX_Angle  4.30	GYRY_Angle  1.39	GYRZ_Angle  1.51		CFangleX_Angle -179.87	CFangleY_Angle -162.37		HEADING  351.46	tiltCompensatedHeading 282.08
ACCX_Angle -179.96	ACCY_Angle -161.97		GRYX_Angle  4.33	GYRY_Angle  1.41	GYRZ_Angle  1.54		CFangleX_Angle -179.87	CFangleY_Angle -162.27		HEADING  351.46	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.97		GRYX_Angle  4.36	GYRY_Angle  1.45	GYRZ_Angle  1.57		CFangleX_Angle -179.86	CFangleY_Angle -162.18		HEADING  351.46	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.97		GRYX_Angle  4.39	GYRY_Angle  1.48	GYRZ_Angle  1.60		CFangleX_Angle -179.86	CFangleY_Angle -162.12		HEADING  351.46	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.97		GRYX_Angle  4.41	GYRY_Angle  1.50	GYRZ_Angle  1.62		CFangleX_Angle -179.86	CFangleY_Angle -162.07		HEADING  351.46	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.97		GRYX_Angle  4.44	GYRY_Angle  1.53	GYRZ_Angle  1.64		CFangleX_Angle -179.86	CFangleY_Angle -162.03		HEADING  351.46	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.97		GRYX_Angle  4.47	GYRY_Angle  1.55	GYRZ_Angle  1.67		CFangleX_Angle -179.86	CFangleY_Angle -161.99		HEADING  351.46	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -161.97		GRYX_Angle  4.50	GYRY_Angle  1.58	GYRZ_Angle  1.70		CFangleX_Angle -179.85	CFangleY_Angle -161.96		HEADING  351.56	tiltCompensatedHeading 264.59
ACCX_Angle -179.96	ACCY_Angle -162.21		GRYX_Angle  4.51	GYRY_Angle  1.61	GYRZ_Angle  1.73		CFangleX_Angle -179.86	CFangleY_Angle -161.99		HEADING  351.56	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.21		GRYX_Angle  4.54	GYRY_Angle  1.64	GYRZ_Angle  1.75		CFangleX_Angle -179.86	CFangleY_Angle -162.02		HEADING  351.56	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.21		GRYX_Angle  4.57	GYRY_Angle  1.66	GYRZ_Angle  1.78		CFangleX_Angle -179.86	CFangleY_Angle -162.03		HEADING  351.56	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.21		GRYX_Angle  4.59	GYRY_Angle  1.69	GYRZ_Angle  1.81		CFangleX_Angle -179.86	CFangleY_Angle -162.05		HEADING  351.56	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.21		GRYX_Angle  4.62	GYRY_Angle  1.72	GYRZ_Angle  1.83		CFangleX_Angle -179.86	CFangleY_Angle -162.06		HEADING  351.56	tiltCompensatedHeading 270.00
ACCX_Angle -179.96	ACCY_Angle -162.21		GRYX_Angle  4.65	GYRY_Angle  1.74	GYRZ_Angle  1.86		CFangleX_Angle -179.86	CFangleY_Angle -162.07		HEADING  351.56	tiltCompensatedHeading 270.00
