secs,time, cad, hr, km, kph, watts, alt, lon, lat, slope, temp, lrbalance
741,221,59,163,2.15116,31.1256,154,99,144.405,-37.882,1.78E-16,22,47
742,222,59,163,2.15986,31.2588,214,99,144.405,-37.8821,1.78E-16,22,48
743,223,59,163,2.16919,32.1516,189,99,144.405,-37.8822,1.78E-16,22,48
744,224,60,163,2.17748,30.8592,161,99,144.405,-37.8823,1.78E-16,22,46
745,225,61,163,2.18631,31.1508,142,99,144.405,-37.8823,1.78E-16,22,50
746,226,62,163,2.19565,32.4576,128,99,144.405,-37.8824,1.78E-16,22,47
747,227,62,163,2.2042,31.8996,143,99,144.405,-37.8825,1.78E-16,22,47
748,228,63,163,2.21368,32.7708,169,99,144.405,-37.8826,1.78E-16,22,46
749,229,63,163,2.22289,33.192,155,99.4,144.405,-37.8827,0.434311,22,46
750,230,63,164,2.23219,33.2028,164,99.8,144.405,-37.8828,0.864418,22,48
751,231,64,164,2.24167,33.7824,179,100.2,144.405,-37.8828,1.28636,22,47
752,232,64,164,2.25044,32.9292,145,100.6,144.405,-37.8829,1.74246,22,46
753,233,64,164,2.25912,32.4864,131,101,144.405,-37.883,2.20329,22,47
754,234,65,164,2.26863,32.4468,118,101,144.404,-37.8831,2.20329,22,48
755,235,65,165,2.27844,32.4612,120,101,144.404,-37.8832,2.20329,22,46
756,236,66,165,2.28725,32.346,108,101,144.404,-37.8832,2.20329,22,48
757,237,66,164,2.29577,32.2884,102,101,144.404,-37.8833,2.20329,22,46
758,238,66,164,2.30496,31.6656,102,101,144.404,-37.8834,2.20329,22,43
759,239,67,164,2.31373,32.0076,138,101,144.404,-37.8835,1.76898,22,46
760,240,67,164,2.32366,32.9004,148,101,144.404,-37.8836,1.33887,22,46
761,241,67,164,2.3328,32.562,136,101,144.404,-37.8837,0.91693,22,47
762,242,67,163,2.3427,33.4404,141,101,144.404,-37.8837,0.460829,22,47
763,243,67,163,2.35285,34.0272,140,101,144.404,-37.8838,-8.88E-17,22,45
764,244,68,163,2.3624,33.9552,200,101,144.404,-37.8839,-8.88E-17,22,43
765,245,68,163,2.37268,35.226,154,101,144.404,-37.884,-8.88E-17,22,43
766,246,69,164,2.38342,35.3412,90,101,144.404,-37.8841,-8.88E-17,22,44
767,247,69,164,2.39386,35.4312,84,101,144.404,-37.8842,-8.88E-17,22,41
768,248,69,164,2.4043,35.5464,90,101,144.404,-37.8843,-8.88E-17,22,42
769,249,70,164,2.41457,35.4924,94,101,144.404,-37.8844,-8.88E-17,22,45
770,250,70,164,2.42513,35.8308,102,101,144.404,-37.8845,-8.88E-17,22,44
771,251,70,164,2.435,35.9424,115,101,144.404,-37.8846,-8.88E-17,22,45
772,252,70,164,2.44569,35.9208,106,101,144.404,-37.8847,-8.88E-17,22,46
773,253,70,164,2.45599,36.4284,94,101,144.404,-37.8848,-8.88E-17,22,46
774,254,70,165,2.46621,35.838,109,101,144.404,-37.8848,-8.88E-17,22,46
775,255,70,165,2.47691,36.4032,117,101,144.404,-37.8849,-8.88E-17,22,45
776,256,70,166,2.48756,36.45,164,101,144.404,-37.885,-8.88E-17,22,44
777,257,70,166,2.49848,37.2852,256,101,144.404,-37.8851,-8.88E-17,22,48
778,258,70,166,2.50893,36.738,244,101,144.404,-37.8852,-8.88E-17,22,49
779,259,71,166,2.51971,37.1556,233,101,144.404,-37.8853,-8.88E-17,22,50
780,260,72,166,2.53085,38.2356,217,101,144.404,-37.8854,-8.88E-17,22,48
781,261,73,167,2.54174,38.1024,201,101,144.404,-37.8855,-8.88E-17,22,48
782,262,74,167,2.55368,39.1788,180,101,144.404,-37.8856,-8.88E-17,22,47
783,263,74,168,2.56476,39.474,145,101,144.404,-37.8857,-8.88E-17,22,48
784,264,74,168,2.57636,39.5028,126,101,144.404,-37.8858,-8.88E-17,22,47
785,265,74,168,2.58796,39.6144,105,101,144.404,-37.8859,-8.88E-17,22,43
786,266,74,169,2.59934,39.4884,101,101,144.404,-37.886,-8.88E-17,22,42
787,267,75,168,2.60986,38.0664,102,101,144.404,-37.8861,-8.88E-17,22,43
788,268,75,169,2.62089,38.43,98,101,144.404,-37.8862,-8.88E-17,22,44
789,269,75,168,2.6315,38.4228,111,101,144.404,-37.8863,-8.88E-17,22,46
790,270,75,168,2.64261,38.8944,138,101,144.404,-37.8864,-8.88E-17,22,47
791,271,75,168,2.65353,38.52,163,101,144.404,-37.8865,-8.88E-17,22,46
792,272,76,169,2.66464,38.5236,176,101,144.404,-37.8866,-8.88E-17,22,46
793,273,77,168,2.67591,39.0852,178,101,144.404,-37.8867,-8.88E-17,22,48
794,274,77,169,2.68694,39.0348,144,101,144.404,-37.8868,-8.88E-17,22,47
795,275,76,169,2.69859,40.2084,170,101,144.404,-37.8869,-8.88E-17,22,48
796,276,75,168,2.71016,40.2948,199,101,144.404,-37.887,-8.88E-17,22,49
797,277,72,169,2.72197,40.6368,183,101,144.404,-37.8871,-8.88E-17,22,49
798,278,70,169,2.73386,41.4072,159,101,144.404,-37.8872,-8.88E-17,22,51
799,279,70,169,2.74526,41.0904,165,101,144.404,-37.8873,-8.88E-17,22,49
