time, x, y, z
0.05297, -0.42383, 0.23535, 2.02783 
0.05312, -0.43066, 0.22656, 2.01611 
0.05327, -0.39795, 0.24658, 2.03516 
0.05342, -0.42432, 0.22021, 2.06348 
0.05357, -0.41406, 0.19629, 2.06348 
0.05372, -0.40527, 0.18652, 2.10156 
0.05387, -0.39990, 0.19482, 2.11084 
0.05402, -0.41846, 0.19482, 2.12061 
0.05417, -0.39746, 0.21387, 2.13281 
0.05432, -0.40186, 0.20068, 2.16113 
0.05447, -0.35840, 0.19238, 2.16113 
0.05462, -0.37988, 0.18066, 2.18018 
0.05477, -0.37402, 0.19824, 2.18018 
0.05492, -0.36035, 0.17773, 2.20508 
0.05507, -0.38477, 0.17188, 2.21631 
0.05522, -0.32861, 0.19873, 2.28857 
0.05537, -0.34717, 0.15283, 2.28857 
0.05552, -0.33447, 0.19287, 2.29150 
0.05567, -0.31396, 0.18799, 2.29150 
0.05582, -0.32178, 0.14600, 2.31055 
0.05597, -0.29883, 0.16211, 2.31055 
0.05612, -0.28760, 0.15869, 2.36914 
0.05627, -0.33740, 0.13525, 2.33301 
0.05642, -0.31445, 0.14160, 2.37402 
0.05657, -0.27588, 0.15869, 2.37402 
0.05672, -0.30615, 0.17627, 2.40039 
0.05687, -0.28271, 0.11572, 2.40039 
0.05702, -0.25098, 0.11572, 2.39502 
0.05717, -0.27490, 0.14014, 2.45068 
0.05732, -0.24854, 0.13232, 2.46729 
0.05747, -0.25488, 0.10840, 2.46729 
0.05762, -0.24219, 0.10742, 2.50391 
0.05777, -0.26074, 0.14551, 2.49512 
0.05792, -0.20166, 0.09717, 2.50586 
0.05807, -0.24072, 0.08740, 2.50732 
0.05822, -0.21436, 0.11377, 2.55859 
0.05837, -0.20703, 0.12402, 2.55859 
0.05852, -0.21973, 0.08496, 2.57617 
0.05867, -0.17773, 0.09375, 2.58740 
0.05882, -0.19824, 0.11816, 2.58740 
0.05897, -0.15381, 0.09619, 2.60889 
0.05912, -0.16162, 0.08838, 2.73389 
0.05927, -0.15674, 0.07666, 2.64600 
0.05942, -0.14844, 0.09766, 2.67773 
0.05957, -0.15332, 0.07520, 2.67773 
0.05972, -0.15527, 0.07031, 2.67041 
0.05987, -0.12549, 0.07275, 2.69873 
0.06002, -0.11230, 0.07275, 2.69873 
0.06017, -0.11572, 0.05518, 2.70264 
0.06032, -0.10596, 0.04834, 2.73486 
0.06047, -0.10254, 0.02246, 2.73486 
0.06062, -0.08984, 0.02246, 2.72412 
0.06077, -0.06592, 0.05225, 2.74707 
0.06092, -0.08594, 0.04590, 2.74707 
0.06107, -0.06982, 0.04590, 2.75098 
0.06122, -0.05566, 0.02148, 2.73633 
0.06137, -0.07031, 0.02539, 2.80811 
0.06152, -0.03125, 0.01953, 2.81299 
0.06167, -0.03857, 0.01807, 2.77051 
0.06182, -0.00928, -0.02783, 2.78857 
0.06197, 0.00732, 0.01709, 2.78857 
0.06212, -0.02930, -0.01562, 2.83496 
0.06227, 0.01221, -0.01416, 2.80811 
0.06242, 0.02930, -0.03711, 2.80811 
0.06258, -0.01025, -0.00049, 2.87012 
0.06273, 0.01611, -0.04443, 2.88965 
0.06288, 0.00635, -0.03955, 2.76465 
0.06303, 0.03662, -0.03955, 2.86719 
0.06318, 0.05078, -0.04395, 2.91064 
0.06333, 0.03760, -0.04834, 2.91064 
0.06348, 0.07568, -0.04736, 2.89795 
0.06363, 0.07812, -0.06152, 2.90674 
0.06378, 0.08301, -0.04102, 2.90674 
0.06393, 0.07227, -0.05078, 2.91699 
0.06408, 0.09326, -0.05078, 2.91699 
0.06423, 0.12402, -0.08008, 2.91357 
0.06438, 0.08594, -0.10645, 2.93896 
0.06453, 0.08984, -0.11230, 2.96045 
0.06468, 0.12891, -0.07520, 2.94727 
0.06483, 0.13721, -0.09619, 2.97266 
0.06498, 0.12158, -0.12256, 2.98438 
0.06513, 0.16162, -0.10596, 2.97314 
0.06528, 0.13770, -0.12012, 2.98877 
0.06543, 0.19189, -0.09814, 2.98877 
0.06558, 0.19531, -0.13086, 3.01172 
0.06573, 0.20801, -0.12598, 3.02490 
0.06588, 0.21289, -0.10547, 3.02490 
0.06603, 0.20703, -0.10547, 3.00195 
0.06618, 0.21387, -0.10742, 3.01318 
0.06633, 0.20508, -0.12598, 3.01318 
0.06648, 0.19482, -0.15967, 3.01807 
0.06663, 0.22754, -0.17188, 3.05518 
0.06678, 0.24170, -0.13721, 3.08447 
0.06693, 0.23242, -0.13965, 3.06055 
0.06708, 0.25293, -0.13965, 3.06055 
0.06723, 0.27197, -0.15967, 3.08643 
0.06738, 0.27539, -0.15430, 3.06787 
0.06753, 0.29297, -0.15625, 3.05957 
0.06768, 0.27148, -0.16895, 3.06836 
0.06783, 0.29004, -0.18750, 3.09473 
0.06798, 0.31396, -0.17920, 3.09619 
0.06813, 0.31396, -0.19189, 3.07764 
0.06828, 0.32227, -0.18848, 3.10498 
0.06843, 0.33008, -0.17090, 3.10986 
0.06858, 0.32471, -0.18018, 3.11719 
0.06873, 0.33203, -0.20215, 3.10205 
0.06888, 0.35303, -0.18994, 3.11230 
0.06903, 0.35254, -0.18994, 3.11230 
0.06918, 0.36377, -0.18311, 3.11426 
0.06933, 0.39795, -0.18896, 3.14600 
0.06948, 0.34814, -0.20557, 3.14404 
0.06963, 0.37012, -0.21680, 3.14111 
0.06978, 0.38135, -0.18408, 3.12744 
0.06993, 0.40186, -0.20557, 3.12891 
