time, x, y, z
0.13937, 0.46094, -0.25000, -0.85938 
0.13969, 0.47656, -0.28125, -0.89844 
0.14000, 0.45312, -0.16406, -0.89062 
0.14031, 0.42188, -0.25000, -0.88281 
0.14062, 0.47656, -0.28906, -0.89062 
0.14094, 0.48438, -0.26562, -0.90625 
0.14125, 0.43750, -0.27344, -0.89062 
0.14156, 0.50000, -0.25000, -0.90625 
0.14188, 0.45312, -0.25000, -0.92188 
0.14219, 0.42188, -0.28125, -0.89062 
0.14250, 0.43750, -0.28125, -0.85938 
0.14281, 0.44531, -0.25781, -0.85156 
0.14313, 0.40625, -0.19531, -0.90625 
0.14344, 0.49219, -0.25781, -0.92969 
0.14375, 0.43750, -0.30469, -0.90625 
0.14406, 0.46094, -0.25000, -0.90625 
0.14438, 0.46094, -0.34375, -0.90625 
0.14469, 0.43750, -0.21875, -0.88281 
0.14500, 0.50781, -0.25781, -0.92188 
0.14531, 0.43750, -0.27344, -0.82031 
0.14563, 0.51562, -0.27344, -0.87500 
0.14594, 0.42969, -0.28906, -0.82031 
0.14625, 0.46875, -0.25000, -0.88281 
0.14656, 0.46875, -0.25000, -0.88281 
0.14688, 0.50000, -0.25000, -0.90625 
0.14719, 0.50000, -0.25000, -0.90625 
0.14750, 0.48438, -0.25781, -0.85156 
0.14781, 0.50000, -0.26562, -0.94531 
0.14813, 0.46094, -0.27344, -0.72656 
0.14844, 0.40625, -0.19531, -0.85938 
0.14875, 0.43750, -0.26562, -0.77344 
0.14906, 0.45312, -0.25000, -0.84375 
0.14938, 0.48438, -0.25000, -0.91406 
0.14969, 0.46875, -0.25000, -0.89062 
0.15000, 0.46875, -0.28125, -0.89062 
0.15031, 0.50000, -0.22656, -0.91406 
0.15063, 0.46094, -0.25000, -0.82031 
0.15094, 0.43750, -0.21094, -0.90625 
0.15125, 0.44531, -0.26562, -0.86719 
0.15156, 0.42188, -0.21094, -0.86719 
0.15188, 0.47656, -0.30469, -0.90625 
0.15219, 0.52344, -0.28125, -0.93750 
0.15250, 0.45312, -0.28125, -0.84375 
0.15281, 0.48438, -0.26562, -0.89062 
0.15313, 0.50000, -0.26562, -0.95312 
0.15344, 0.44531, -0.28906, -0.92969 
0.15375, 0.50000, -0.26562, -0.91406 
0.15406, 0.44531, -0.31250, -0.88281 
0.15438, 0.46875, -0.25000, -0.87500 
0.15469, 0.42969, -0.25000, -0.89844 
0.15500, 0.46094, -0.29688, -0.85156 
0.15531, 0.50000, -0.29688, -0.90625 
0.15563, 0.46875, -0.31250, -0.85156 
0.15594, 0.44531, -0.25781, -0.87500 
0.15625, 0.41406, -0.24219, -0.86719 
0.15656, 0.44531, -0.25000, -0.89062 
0.15688, 0.44531, -0.25000, -0.89062 
0.15719, 0.46875, -0.26562, -0.76562 
0.15750, 0.49219, -0.24219, -0.89062 
0.15781, 0.47656, -0.25781, -0.77344 
0.15813, 0.42969, -0.21094, -0.89844 
0.15844, 0.43750, -0.25781, -0.82812 
0.15875, 0.39062, -0.19531, -0.87500 
0.15906, 0.46094, -0.24219, -0.89062 
0.15938, 0.43750, -0.25781, -0.88281 
0.15969, 0.47656, -0.32031, -0.92188 
0.16000, 0.46094, -0.27344, -0.90625 
0.16031, 0.42969, -0.21094, -0.89062 
0.16062, 0.46875, -0.25781, -0.93750 
0.16094, 0.49219, -0.25781, -0.83594 
0.16125, 0.45312, -0.23438, -0.90625 
0.16156, 0.53906, -0.28906, -0.87500 
0.16187, 0.45312, -0.25000, -0.88281 
0.16219, 0.48438, -0.25000, -0.89062 
0.16250, 0.46875, -0.20312, -0.88281 
0.16281, 0.52344, -0.29688, -0.92188 
0.16312, 0.42969, -0.26562, -0.96094 
0.16344, 0.45312, -0.25000, -0.89844 
0.16375, 0.42969, -0.28125, -0.88281 
0.16406, 0.48438, -0.25000, -0.89844 
0.16437, 0.48438, -0.25000, -0.87500 
0.16469, 0.44531, -0.24219, -0.89062 
0.16500, 0.44531, -0.24219, -0.89062 
0.16531, 0.47656, -0.26562, -0.89062 
0.16562, 0.45312, -0.26562, -0.85938 
0.16594, 0.45312, -0.25000, -0.82812 
0.16625, 0.39844, -0.22656, -0.89844 
0.16656, 0.45312, -0.22656, -0.89062 
0.16687, 0.45312, -0.22656, -0.89062 
0.16719, 0.45312, -0.21094, -0.90625 
0.16750, 0.46094, -0.26562, -0.90625 
0.16781, 0.44531, -0.26562, -0.83594 
0.16812, 0.44531, -0.25781, -0.83594 
0.16844, 0.44531, -0.25000, -0.88281 
0.16875, 0.50781, -0.28906, -0.90625 
0.16906, 0.47656, -0.25781, -0.90625 
0.16937, 0.46094, -0.29688, -0.82812 
0.16969, 0.47656, -0.31250, -0.83594 
0.17000, 0.50000, -0.25000, -0.89844 
0.17031, 0.44531, -0.24219, -0.89062 
0.17062, 0.50781, -0.28906, -0.92188 
0.17094, 0.43750, -0.29688, -0.88281 
0.17125, 0.43750, -0.25000, -0.89844 
0.17156, 0.45312, -0.21875, -0.90625 
0.17188, 0.46094, -0.25000, -0.89844 
0.17219, 0.49219, -0.27344, -0.89844 
0.17250, 0.44531, -0.29688, -0.89062 
0.17281, 0.39062, -0.19531, -0.89062 
0.17313, 0.51562, -0.22656, -0.88281 
0.17344, 0.46875, -0.25781, -0.90625 
0.17375, 0.42969, -0.25000, -0.90625 
0.17406, 0.45312, -0.26562, -0.85938 
0.17438, 0.45312, -0.25781, -0.89062 
0.17469, 0.45312, -0.25000, -0.85156 
0.17500, 0.42969, -0.31250, -0.89844 
0.17531, 0.42969, -0.31250, -0.89844 
0.17563, 0.50781, -0.25781, -0.90625 
0.17594, 0.46875, -0.28125, -0.90625 
0.17625, 0.42188, -0.26562, -0.91406 
0.17656, 0.39844, -0.26562, -0.89062 
0.17688, 0.53906, -0.30469, -0.88281 
0.17719, 0.53906, -0.30469, -0.88281 
0.17750, 0.47656, -0.29688, -0.89844 
0.17781, 0.46094, -0.25000, -0.93750 
0.17813, 0.44531, -0.27344, -0.89844 
0.17844, 0.46875, -0.25000, -0.82812 
0.17875, 0.46094, -0.26562, -0.95312 
0.17906, 0.44531, -0.25000, -0.79688 
0.17938, 0.42188, -0.24219, -0.88281 
0.17969, 0.46875, -0.25000, -0.87500 
0.18000, 0.46094, -0.28125, -0.86719 
0.18031, 0.43750, -0.26562, -0.83594 
0.18063, 0.42969, -0.25000, -0.87500 
0.18094, 0.46094, -0.29688, -0.85156 
0.18125, 0.41406, -0.21875, -0.91406 
