time, x, y, z
0.37300, -0.78125, -0.92773, 1.66016 
0.37400, -0.92773, -0.68359, 2.39258 
0.37500, -0.63477, -0.63477, 1.90430 
0.37600, -0.63477, -1.07422, 1.90430 
0.37700, -1.31836, -0.83008, 2.34375 
0.37800, -0.39062, -0.63477, 1.95312 
0.37900, -1.07422, 0.00000, 0.97656 
0.38000, -1.07422, 0.24414, 2.92969 
0.38100, -0.87891, -0.24414, 1.95312 
0.38200, -1.41602, -0.92773, 2.58789 
0.38300, -0.87891, -0.73242, 1.41602 
0.38400, -1.61133, -0.73242, 1.26953 
0.38500, -1.31836, 0.04883, 1.61133 
0.38600, -1.61133, 0.78125, 2.68555 
0.38700, -1.61133, -0.48828, 2.88086 
0.38800, -1.31836, -0.14648, 1.46484 
0.38900, -1.02539, -0.87891, 2.24609 
0.39000, -1.41602, -0.53711, 2.58789 
0.39100, -1.41602, -0.04883, 1.36719 
0.39200, -1.26953, -0.68359, 2.44141 
0.39300, -1.66016, -0.29297, 2.09961 
0.39400, -1.61133, -0.63477, 1.56250 
0.39500, -0.78125, -0.53711, 2.34375 
0.39600, -1.61133, 0.14648, 2.14844 
0.39700, -1.95312, 0.68359, 2.83203 
0.39800, -1.02539, -0.04883, 2.05078 
0.39900, -1.61133, -0.04883, 1.70898 
0.40000, -1.61133, 0.04883, 1.31836 
0.40100, -2.29492, -0.34180, 1.66016 
0.40200, -1.75781, -0.83008, 1.56250 
0.40300, -1.07422, -0.87891, 1.61133 
0.40400, -1.17188, -0.24414, 0.92773 
0.40500, -1.17188, -0.24414, 2.68555 
0.40600, -1.61133, 0.14648, 2.00195 
0.40700, -1.31836, -0.29297, 1.90430 
0.40800, -0.97656, -0.48828, 2.97852 
0.40900, -1.07422, -0.29297, 1.95312 
0.41000, -1.17188, 0.29297, 0.97656 
0.41100, -1.31836, 0.29297, 2.00195 
0.41200, -1.70898, 0.04883, 1.85547 
0.41300, -1.85547, 0.53711, 2.29492 
0.41400, -1.46484, -0.43945, 2.14844 
0.41500, -1.12305, 0.19531, 3.07617 
0.41600, -0.87891, -0.83008, 0.97656 
0.41700, -0.97656, -0.24414, 1.90430 
0.41800, -0.73242, -0.09766, 2.39258 
0.41900, -1.02539, -0.14648, 2.44141 
0.42000, -0.73242, 0.43945, 2.68555 
0.42100, -1.41602, -0.04883, 2.73438 
0.42200, -2.09961, -0.43945, 2.09961 
0.42300, -1.36719, 0.14648, 2.53906 
0.42400, -1.02539, -0.34180, 2.63672 
0.42500, -1.41602, -0.97656, 2.53906 
0.42600, -0.92773, -0.04883, 2.05078 
0.42700, -1.90430, -0.09766, 2.53906 
0.42800, -0.83008, -0.14648, 2.29492 
0.42900, -1.61133, -0.19531, 1.95312 
0.43000, -1.12305, -0.63477, 1.41602 
0.43100, -0.24414, -0.14648, 1.61133 
0.43200, 0.09766, -0.19531, 2.05078 
0.43300, -0.48828, -0.63477, 2.05078 
0.43400, -0.14648, -0.92773, 2.34375 
0.43500, 0.00000, -1.17188, 2.73438 
0.43600, -0.14648, -0.92773, 2.83203 
0.43700, 0.14648, -0.87891, 2.68555 
0.43800, -0.87891, 0.04883, 2.97852 
0.43900, -0.53711, -0.87891, 2.58789 
0.44000, -0.68359, -0.58594, 3.22266 
0.44100, -0.34180, -0.24414, 2.53906 
0.44200, -1.17188, -0.43945, 0.48828 
0.44300, -1.36719, 0.09766, 1.56250 
0.44400, -1.61133, -0.24414, 3.90625 
0.44500, -1.70898, -0.48828, 2.24609 
0.44600, -2.00195, -0.39062, 2.34375 
